variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AR,2015,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2016,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2017,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2018,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2019,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AZ,1960,Billion Btu,-51,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1961,Billion Btu,-49,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1962,Billion Btu,-70,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1963,Billion Btu,-78,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1964,Billion Btu,-87,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1965,Billion Btu,-97,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1966,Billion Btu,-104,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1967,Billion Btu,-116,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1968,Billion Btu,-129,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1969,Billion Btu,-150,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1970,Billion Btu,-175,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1971,Billion Btu,-207,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1972,Billion Btu,-452,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1973,Billion Btu,-321,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1974,Billion Btu,-75,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1975,Billion Btu,-47,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1976,Billion Btu,-68,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1977,Billion Btu,-55,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1978,Billion Btu,-122,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1979,Billion Btu,-135,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1980,Billion Btu,-138,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1981,Billion Btu,-36,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1982,Billion Btu,-23,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1983,Billion Btu,-4,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1984,Billion Btu,-4,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1985,Billion Btu,0,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1986,Billion Btu,-5,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1987,Billion Btu,-5,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1988,Billion Btu,-6,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1989,Billion Btu,-7,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1990,Billion Btu,-7,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1991,Billion Btu,363,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1992,Billion Btu,-7,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1993,Billion Btu,-8,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1994,Billion Btu,-8,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1995,Billion Btu,1146,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1996,Billion Btu,-9,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1997,Billion Btu,392,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1998,Billion Btu,14,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1999,Billion Btu,0,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2000,Billion Btu,161,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2001,Billion Btu,188,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2002,Billion Btu,48,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2003,Billion Btu,-54,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2004,Billion Btu,265,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2005,Billion Btu,-271,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2006,Billion Btu,-622,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2007,Billion Btu,9,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2008,Billion Btu,-896,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2009,Billion Btu,-788,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2010,Billion Btu,234,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2011,Billion Btu,1456,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2012,Billion Btu,58,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2013,Billion Btu,23,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2014,Billion Btu,165,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2015,Billion Btu,58,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2016,Billion Btu,445,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2017,Billion Btu,203,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2018,Billion Btu,116,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2019,Billion Btu,-10,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,CA,1960,Billion Btu,-1363,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1961,Billion Btu,-1501,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1962,Billion Btu,-1560,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1963,Billion Btu,-1519,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1964,Billion Btu,-80,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1965,Billion Btu,-10,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1966,Billion Btu,0,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1967,Billion Btu,0,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1968,Billion Btu,0,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1969,Billion Btu,0,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1970,Billion Btu,-37,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1971,Billion Btu,-37,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1972,Billion Btu,0,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1973,Billion Btu,-5,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1974,Billion Btu,0,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1975,Billion Btu,0,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1976,Billion Btu,0,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1977,Billion Btu,0,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1978,Billion Btu,0,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1979,Billion Btu,0,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1980,Billion Btu,303,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1981,Billion Btu,28,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1982,Billion Btu,20,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1983,Billion Btu,91,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1984,Billion Btu,215,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1985,Billion Btu,13834,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1986,Billion Btu,12899,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1987,Billion Btu,26421,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1988,Billion Btu,24859,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1989,Billion Btu,14424,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1990,Billion Btu,15758,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1991,Billion Btu,10203,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1992,Billion Btu,7073,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1993,Billion Btu,6710,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1994,Billion Btu,7014,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1995,Billion Btu,5932,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1996,Billion Btu,4191,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1997,Billion Btu,4502,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1998,Billion Btu,-2104,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,1999,Billion Btu,643,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2000,Billion Btu,11536,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2001,Billion Btu,10423,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2002,Billion Btu,6379,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2003,Billion Btu,14078,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2004,Billion Btu,4241,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2005,Billion Btu,18858,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2006,Billion Btu,8092,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2007,Billion Btu,18782,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2008,Billion Btu,16019,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2009,Billion Btu,8628,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2010,Billion Btu,10483,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2011,Billion Btu,20081,SEDS.ELNIB.CA.A
