YEAR,MONTH,Purchase.Type,FUEL_GROUP,AVERAGE_FUEL_COST
2005,12,Henry Hub,Natural Gas,13.05
2005,11,Henry Hub,Natural Gas,10.3
2005,10,Henry Hub,Natural Gas,13.42
2005,9,Henry Hub,Natural Gas,11.75
2005,8,Henry Hub,Natural Gas,9.53
2005,7,Henry Hub,Natural Gas,7.63
2005,6,Henry Hub,Natural Gas,7.18
2005,5,Henry Hub,Natural Gas,6.47
2005,4,Henry Hub,Natural Gas,7.16
2005,3,Henry Hub,Natural Gas,6.96
2005,2,Henry Hub,Natural Gas,6.14
2005,1,Henry Hub,Natural Gas,6.15
2004,12,Henry Hub,Natural Gas,6.58
2004,11,Henry Hub,Natural Gas,6.17
2004,10,Henry Hub,Natural Gas,6.35
2004,9,Henry Hub,Natural Gas,5.15
2004,8,Henry Hub,Natural Gas,5.41
2004,7,Henry Hub,Natural Gas,5.93
2004,6,Henry Hub,Natural Gas,6.27
2004,5,Henry Hub,Natural Gas,6.33
2004,4,Henry Hub,Natural Gas,5.71
2004,3,Henry Hub,Natural Gas,5.39
2004,2,Henry Hub,Natural Gas,5.37
2004,1,Henry Hub,Natural Gas,6.14
2003,12,Henry Hub,Natural Gas,6.13
2003,11,Henry Hub,Natural Gas,4.47
2003,10,Henry Hub,Natural Gas,4.63
2003,9,Henry Hub,Natural Gas,4.62
2003,8,Henry Hub,Natural Gas,4.99
2003,7,Henry Hub,Natural Gas,5.03
2003,6,Henry Hub,Natural Gas,5.82
2003,5,Henry Hub,Natural Gas,5.81
2003,4,Henry Hub,Natural Gas,5.26
2003,3,Henry Hub,Natural Gas,5.93
2003,2,Henry Hub,Natural Gas,7.71
2003,1,Henry Hub,Natural Gas,5.43
2002,12,Henry Hub,Natural Gas,4.74
2002,11,Henry Hub,Natural Gas,4.04
2002,10,Henry Hub,Natural Gas,4.13
2002,9,Henry Hub,Natural Gas,3.55
2002,8,Henry Hub,Natural Gas,3.09
2002,7,Henry Hub,Natural Gas,2.99
2002,6,Henry Hub,Natural Gas,3.26
2002,5,Henry Hub,Natural Gas,3.5
2002,4,Henry Hub,Natural Gas,3.43
2002,3,Henry Hub,Natural Gas,3.03
2002,2,Henry Hub,Natural Gas,2.32
2002,1,Henry Hub,Natural Gas,2.32
2001,12,Henry Hub,Natural Gas,2.3
2001,11,Henry Hub,Natural Gas,2.34
2001,10,Henry Hub,Natural Gas,2.46
2001,9,Henry Hub,Natural Gas,2.19
2001,8,Henry Hub,Natural Gas,2.97
2001,7,Henry Hub,Natural Gas,3.11
2001,6,Henry Hub,Natural Gas,3.72
2001,5,Henry Hub,Natural Gas,4.19
2001,4,Henry Hub,Natural Gas,5.19
2001,3,Henry Hub,Natural Gas,5.23
2001,2,Henry Hub,Natural Gas,5.61
2001,1,Henry Hub,Natural Gas,8.17
2000,12,Henry Hub,Natural Gas,8.9
2000,11,Henry Hub,Natural Gas,5.52
2000,10,Henry Hub,Natural Gas,5.02
2000,9,Henry Hub,Natural Gas,5.06
2000,8,Henry Hub,Natural Gas,4.43
2000,7,Henry Hub,Natural Gas,3.99
