variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AZ,2000,Billion Btu,1332442,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2001,Billion Btu,1341725,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2002,Billion Btu,1334303,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2003,Billion Btu,1354531,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2004,Billion Btu,1404379,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2005,Billion Btu,1443202,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2006,Billion Btu,1491843,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2007,Billion Btu,1498161,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2008,Billion Btu,1465556,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2009,Billion Btu,1380048,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2010,Billion Btu,1434803,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2011,Billion Btu,1476545,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2012,Billion Btu,1445125,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2013,Billion Btu,1464009,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2014,Billion Btu,1473673,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2015,Billion Btu,1495839,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2016,Billion Btu,1524691,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2017,Billion Btu,1531395,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,2018,Billion Btu,1542084,SEDS.TETCB.AZ.A
