region,plant_type_full,year,Value
Northeast,wnd_Ndeep_4,2020,9884
Northeast,wnd_Ndeep_4,2025,9884
Northeast,wnd_Ndeep_4,2030,9884
Northeast,wnd_Ndeep_4,2035,9884
Northeast,wnd_Ndeep_4,2040,9884
Northeast,wnd_Ndeep_4,2045,9884
Northeast,wnd_Ndeep_4,2050,9884
Northeast,wnd_Ndeep_4,2075,9884
Northeast,wnd_Ndeep_5,2010,9884
Northeast,wnd_Ndeep_5,2015,9884
Northeast,wnd_Ndeep_5,2020,9884
Northeast,wnd_Ndeep_5,2025,9884
Northeast,wnd_Ndeep_5,2030,9884
Northeast,wnd_Ndeep_5,2035,9884
Northeast,wnd_Ndeep_5,2040,9884
Northeast,wnd_Ndeep_5,2045,9884
Northeast,wnd_Ndeep_5,2050,9884
Northeast,wnd_Ndeep_5,2075,9884
Northeast,wnd_Ndeep_6,2010,9884
Northeast,wnd_Ndeep_6,2015,9884
Northeast,wnd_Ndeep_6,2020,9884
Northeast,wnd_Ndeep_6,2025,9884
Northeast,wnd_Ndeep_6,2030,9884
Northeast,wnd_Ndeep_6,2035,9884
Northeast,wnd_Ndeep_6,2040,9884
Northeast,wnd_Ndeep_6,2045,9884
Northeast,wnd_Ndeep_6,2050,9884
Northeast,wnd_Ndeep_6,2075,9884
Northeast,wnd_Ndeep_7,2010,9884
Northeast,wnd_Ndeep_7,2015,9884
Northeast,wnd_Ndeep_7,2020,9884
Northeast,wnd_Ndeep_7,2025,9884
Northeast,wnd_Ndeep_7,2030,9884
Northeast,wnd_Ndeep_7,2035,9884
Northeast,wnd_Ndeep_7,2040,9884
Northeast,wnd_Ndeep_7,2045,9884
Northeast,wnd_Ndeep_7,2050,9884
Northeast,wnd_Ndeep_7,2075,9884
Midwest,col_N,2010,8700
Midwest,col_N,2015,8700
Midwest,col_N,2020,8373.687963
Midwest,col_N,2025,8047.375927
Midwest,col_N,2030,7721.06389
Midwest,col_N,2035,7394.751854
Midwest,col_N,2040,7394.751854
Midwest,col_N,2045,7394.751854
Midwest,col_N,2050,7394.751854
Midwest,col_N,2075,7394.751854
Midwest,col_Nccs,2010,12000
Midwest,col_Nccs,2015,12000
Midwest,col_Nccs,2020,11311.56665
Midwest,col_Nccs,2025,10623.13329
Midwest,col_Nccs,2030,9934.699935
Midwest,col_Nccs,2035,9246.26658
Midwest,col_Nccs,2040,9246.26658
Midwest,col_Nccs,2045,9246.26658
Midwest,col_Nccs,2050,9246.26658
Midwest,col_Nccs,2075,9246.26658
Midwest,ngcc_N,2010,6430
Midwest,ngcc_N,2015,6430
Midwest,ngcc_N,2020,6330.245483
Midwest,ngcc_N,2025,6230.490966
Midwest,ngcc_N,2030,6130.736448
Midwest,ngcc_N,2035,6030.981931
Midwest,ngcc_N,2040,6030.981931
Midwest,ngcc_N,2045,6030.981931
Midwest,ngcc_N,2050,6030.981931
Midwest,ngcc_N,2075,6030.981931
Midwest,ngcc_Nccs,2010,7525
Midwest,ngcc_Nccs,2015,7525
Midwest,ngcc_Nccs,2020,7280.36979
Midwest,ngcc_Nccs,2025,7035.73958
Midwest,ngcc_Nccs,2030,6791.10937
Midwest,ngcc_Nccs,2035,6546.479159
Midwest,ngcc_Nccs,2040,6546.479159
Midwest,ngcc_Nccs,2045,6546.479159
Midwest,ngcc_Nccs,2050,6546.479159
Midwest,ngcc_Nccs,2075,6546.479159
Midwest,ngtb_N,2010,9750
Midwest,ngtb_N,2015,9750
Midwest,ngtb_N,2020,9556.081117
Midwest,ngtb_N,2025,9362.162235
Midwest,ngtb_N,2030,9168.243352
Midwest,ngtb_N,2035,8974.32447
Midwest,ngtb_N,2040,8974.32447
Midwest,ngtb_N,2045,8974.32447
Midwest,ngtb_N,2050,8974.32447
Midwest,ngtb_N,2075,8974.32447
Midwest,nuc_N,2010,10488
Midwest,nuc_N,2015,10488
Midwest,nuc_N,2020,10488
Midwest,nuc_N,2025,10488
Midwest,nuc_N,2030,10488
Midwest,nuc_N,2035,10488
Midwest,nuc_N,2040,10488
Midwest,nuc_N,2045,10488
Midwest,nuc_N,2050,10488
Midwest,nuc_N,2075,10488
Midwest,bio_N,2010,13500
Midwest,bio_N,2015,13500
Midwest,bio_N,2020,12897.92085
Midwest,bio_N,2025,12295.84171
Midwest,bio_N,2030,11693.76256
Midwest,bio_N,2035,11091.68342
Midwest,bio_N,2040,11091.68342
Midwest,bio_N,2045,11091.68342
Midwest,bio_N,2050,11091.68342
Midwest,bio_N,2075,11091.68342
Midwest,lfg_N_hi,2010,18000
Midwest,lfg_N_hi,2015,18000
Midwest,lfg_N_hi,2020,18000
Midwest,lfg_N_hi,2025,18000
Midwest,lfg_N_hi,2030,18000
Midwest,lfg_N_hi,2035,18000
Midwest,lfg_N_hi,2040,18000
Midwest,lfg_N_hi,2045,18000
Midwest,lfg_N_hi,2050,18000
Midwest,lfg_N_hi,2075,18000
Midwest,lfg_N_lo,2010,18000
Midwest,lfg_N_lo,2015,18000
Midwest,lfg_N_lo,2020,18000
Midwest,lfg_N_lo,2025,18000
Midwest,lfg_N_lo,2030,18000
Midwest,lfg_N_lo,2035,18000
Midwest,lfg_N_lo,2040,18000
Midwest,lfg_N_lo,2045,18000
Midwest,lfg_N_lo,2050,18000
Midwest,lfg_N_lo,2075,18000
Midwest,lfg_N_vl,2010,18000
Midwest,lfg_N_vl,2015,18000
Midwest,lfg_N_vl,2020,18000
Midwest,lfg_N_vl,2025,18000
Midwest,lfg_N_vl,2030,18000
Midwest,lfg_N_vl,2035,18000
Midwest,lfg_N_vl,2040,18000
Midwest,lfg_N_vl,2045,18000
Midwest,lfg_N_vl,2050,18000
Midwest,lfg_N_vl,2075,18000
Midwest,fc_N,2010,9500
Midwest,fc_N,2015,9500
Midwest,fc_N,2020,9209.489281
Midwest,fc_N,2025,8918.978562
Midwest,fc_N,2030,8628.467844
Midwest,fc_N,2035,8337.957125
Midwest,fc_N,2040,8337.957125
Midwest,fc_N,2045,8337.957125
Midwest,fc_N,2050,8337.957125
Midwest,fc_N,2075,8337.957125
Midwest,geo_N_1,2010,32969
Midwest,geo_N_1,2015,32969
Midwest,geo_N_1,2020,32969
Midwest,geo_N_1,2025,32969
Midwest,geo_N_1,2030,32969
Midwest,geo_N_1,2035,32969
Midwest,geo_N_1,2040,32969
Midwest,geo_N_1,2045,32969
Midwest,geo_N_1,2050,32969
Midwest,geo_N_1,2075,32969
Midwest,geo_N_2,2010,32969
Midwest,geo_N_2,2015,32969
Midwest,geo_N_2,2020,32969
Midwest,geo_N_2,2025,32969
Midwest,geo_N_2,2030,32969
Midwest,geo_N_2,2035,32969
Midwest,geo_N_2,2040,32969
Midwest,geo_N_2,2045,32969
Midwest,geo_N_2,2050,32969
Midwest,geo_N_2,2075,32969
Midwest,geo_N_3,2010,32969
Midwest,geo_N_3,2015,32969
Midwest,geo_N_3,2020,32969
Midwest,geo_N_3,2025,32969
Midwest,geo_N_3,2030,32969
Midwest,geo_N_3,2035,32969
Midwest,geo_N_3,2040,32969
Midwest,geo_N_3,2045,32969
Midwest,geo_N_3,2050,32969
Midwest,geo_N_3,2075,32969
Midwest,geo_N_4,2010,32969
Midwest,geo_N_4,2015,32969
Midwest,geo_N_4,2020,32969
Midwest,geo_N_4,2025,32969
Midwest,geo_N_4,2030,32969
Midwest,geo_N_4,2035,32969
Midwest,geo_N_4,2040,32969
Midwest,geo_N_4,2045,32969
Midwest,geo_N_4,2050,32969
Midwest,geo_N_4,2075,32969
Midwest,geo_N_5,2010,32969
Midwest,geo_N_5,2015,32969
Midwest,geo_N_5,2020,32969
Midwest,geo_N_5,2025,32969
Midwest,geo_N_5,2030,32969
Midwest,geo_N_5,2035,32969
Midwest,geo_N_5,2040,32969
Midwest,geo_N_5,2045,32969
Midwest,geo_N_5,2050,32969
Midwest,geo_N_5,2075,32969
Midwest,geo_N_6,2010,32969
Midwest,geo_N_6,2015,32969
Midwest,geo_N_6,2020,32969
Midwest,geo_N_6,2025,32969
Midwest,geo_N_6,2030,32969
Midwest,geo_N_6,2035,32969
Midwest,geo_N_6,2040,32969
Midwest,geo_N_6,2045,32969
Midwest,geo_N_6,2050,32969
Midwest,geo_N_6,2075,32969
Midwest,geo_N_7,2010,32969
Midwest,geo_N_7,2015,32969
Midwest,geo_N_7,2020,32969
Midwest,geo_N_7,2025,32969
Midwest,geo_N_7,2030,32969
Midwest,geo_N_7,2035,32969
Midwest,geo_N_7,2040,32969
Midwest,geo_N_7,2045,32969
Midwest,geo_N_7,2050,32969
Midwest,geo_N_7,2075,32969
Midwest,geo_N_8,2010,32969
Midwest,geo_N_8,2015,32969
Midwest,geo_N_8,2020,32969
Midwest,geo_N_8,2025,32969
Midwest,geo_N_8,2030,32969
Midwest,geo_N_8,2035,32969
Midwest,geo_N_8,2040,32969
Midwest,geo_N_8,2045,32969
Midwest,geo_N_8,2050,32969
Midwest,geo_N_8,2075,32969
Midwest,geo_N_9,2010,32969
Midwest,geo_N_9,2015,32969
Midwest,geo_N_9,2020,32969
Midwest,geo_N_9,2025,32969
Midwest,geo_N_9,2030,32969
Midwest,geo_N_9,2035,32969
Midwest,geo_N_9,2040,32969
Midwest,geo_N_9,2045,32969
Midwest,geo_N_9,2050,32969
Midwest,geo_N_9,2075,32969
Midwest,geo_N_10,2010,32969
Midwest,geo_N_10,2015,32969
Midwest,geo_N_10,2020,32969
Midwest,geo_N_10,2025,32969
Midwest,geo_N_10,2030,32969
Midwest,geo_N_10,2035,32969
Midwest,geo_N_10,2040,32969
Midwest,geo_N_10,2045,32969
Midwest,geo_N_10,2050,32969
Midwest,geo_N_10,2075,32969
Midwest,slrPV_N,2010,9884
Midwest,slrPV_N,2015,9884
Midwest,slrPV_N,2020,9884
Midwest,slrPV_N,2025,9884
Midwest,slrPV_N,2030,9884
Midwest,slrPV_N,2035,9884
Midwest,slrPV_N,2040,9884
Midwest,slrPV_N,2045,9884
Midwest,slrPV_N,2050,9884
Midwest,slrPV_N,2075,9884
Midwest,slrCSP_N,2010,9884
Midwest,slrCSP_N,2015,9884
Midwest,slrCSP_N,2020,9884
Midwest,slrCSP_N,2025,9884
Midwest,slrCSP_N,2030,9884
Midwest,slrCSP_N,2035,9884
Midwest,slrCSP_N,2040,9884
Midwest,slrCSP_N,2045,9884
Midwest,slrCSP_N,2050,9884
Midwest,slrCSP_N,2075,9884
Midwest,wnd_Nonsh_3,2010,9884
Midwest,wnd_Nonsh_3,2015,9884
Midwest,wnd_Nonsh_3,2020,9884
Midwest,wnd_Nonsh_3,2025,9884
Midwest,wnd_Nonsh_3,2030,9884
Midwest,wnd_Nonsh_3,2035,9884
Midwest,wnd_Nonsh_3,2040,9884
Midwest,wnd_Nonsh_3,2045,9884
Midwest,wnd_Nonsh_3,2050,9884
Midwest,wnd_Nonsh_3,2075,9884
Midwest,wnd_Nonsh_4,2010,9884
Midwest,wnd_Nonsh_4,2015,9884
Midwest,wnd_Nonsh_4,2020,9884
Midwest,wnd_Nonsh_4,2025,9884
Midwest,wnd_Nonsh_4,2030,9884
Midwest,wnd_Nonsh_4,2035,9884
Midwest,wnd_Nonsh_4,2040,9884
Midwest,wnd_Nonsh_4,2045,9884
Midwest,wnd_Nonsh_4,2050,9884
Midwest,wnd_Nonsh_4,2075,9884
Midwest,wnd_Nonsh_5,2010,9884
Midwest,wnd_Nonsh_5,2015,9884
Midwest,wnd_Nonsh_5,2020,9884
Midwest,wnd_Nonsh_5,2025,9884
Midwest,wnd_Nonsh_5,2030,9884
Midwest,wnd_Nonsh_5,2035,9884
Midwest,wnd_Nonsh_5,2040,9884
Midwest,wnd_Nonsh_5,2045,9884
Midwest,wnd_Nonsh_5,2050,9884
Midwest,wnd_Nonsh_5,2075,9884
Midwest,wnd_Nonsh_6,2010,9884
Midwest,wnd_Nonsh_6,2015,9884
Midwest,wnd_Nonsh_6,2020,9884
Midwest,wnd_Nonsh_6,2025,9884
Midwest,wnd_Nonsh_6,2030,9884
Midwest,wnd_Nonsh_6,2035,9884
Midwest,wnd_Nonsh_6,2040,9884
Midwest,wnd_Nonsh_6,2045,9884
Midwest,wnd_Nonsh_6,2050,9884
Midwest,wnd_Nonsh_6,2075,9884
Midwest,wnd_Nonsh_7,2010,9884
Midwest,wnd_Nonsh_7,2015,9884
Midwest,wnd_Nonsh_7,2020,9884
Midwest,wnd_Nonsh_7,2025,9884
Midwest,wnd_Nonsh_7,2030,9884
Midwest,wnd_Nonsh_7,2035,9884
Midwest,wnd_Nonsh_7,2040,9884
Midwest,wnd_Nonsh_7,2045,9884
Midwest,wnd_Nonsh_7,2050,9884
Midwest,wnd_Nonsh_7,2075,9884
Midwest,wnd_Nshal_3,2010,9884
Midwest,wnd_Nshal_3,2015,9884
Midwest,wnd_Nshal_3,2020,9884
Midwest,wnd_Nshal_3,2025,9884
Midwest,wnd_Nshal_3,2030,9884
Midwest,wnd_Nshal_3,2035,9884
Midwest,wnd_Nshal_3,2040,9884
Midwest,wnd_Nshal_3,2045,9884
Midwest,wnd_Nshal_3,2050,9884
Midwest,wnd_Nshal_3,2075,9884
Midwest,wnd_Nshal_4,2010,9884
Midwest,wnd_Nshal_4,2015,9884
Midwest,wnd_Nshal_4,2020,9884
Midwest,wnd_Nshal_4,2025,9884
Midwest,wnd_Nshal_4,2030,9884
Midwest,wnd_Nshal_4,2035,9884
Midwest,wnd_Nshal_4,2040,9884
Midwest,wnd_Nshal_4,2045,9884
Midwest,wnd_Nshal_4,2050,9884
Midwest,wnd_Nshal_4,2075,9884
Midwest,wnd_Nshal_5,2010,9884
Midwest,wnd_Nshal_5,2015,9884
Midwest,wnd_Nshal_5,2020,9884
Midwest,wnd_Nshal_5,2025,9884
Midwest,wnd_Nshal_5,2030,9884
Midwest,wnd_Nshal_5,2035,9884
Midwest,wnd_Nshal_5,2040,9884
Midwest,wnd_Nshal_5,2045,9884
Midwest,wnd_Nshal_5,2050,9884
Midwest,wnd_Nshal_5,2075,9884
Midwest,wnd_Nshal_6,2010,9884
Midwest,wnd_Nshal_6,2015,9884
Midwest,wnd_Nshal_6,2020,9884
Midwest,wnd_Nshal_6,2025,9884
