region,fuel_type,year,Value,ratio
WSC,bio,2045,2.561301044,0.966528696
WSC,bio,2050,2.586424976,0.976009425
WSC,bio,2075,2.715789971,1.024826404
WSC,nuc,2020,0.76,1
WSC,nuc,2025,0.8,1.052631579
WSC,nuc,2030,0.84,1.105263158
WSC,nuc,2035,0.88,1.157894737
WSC,nuc,2040,0.89190136,1.17355442
WSC,nuc,2045,0.901577967,1.186286799
WSC,nuc,2050,0.910421592,1.197923147
WSC,nuc,2075,0.95595807,1.257839565
MTN,COL,2020,1.587812392,1
MTN,COL,2025,1.584586961,0.997968632
MTN,COL,2030,1.628687081,1.02574277
MTN,COL,2035,1.740873565,1.096397517
MTN,COL,2040,1.778828675,1.120301544
MTN,COL,2045,1.806354399,1.137637171
MTN,COL,2050,1.82986885,1.15244651
MTN,COL,2075,1.95211312,1.229435624
MTN,GAS,2020,6.948559,1
MTN,GAS,2025,6.749972997,0.971420549
MTN,GAS,2030,7.789708334,1.12105378
MTN,GAS,2035,8.674272731,1.248355627
MTN,GAS,2040,9.116523034,1.312001961
MTN,GAS,2045,9.505094164,1.367923071
MTN,GAS,2050,9.879407537,1.421792279
MTN,GAS,2075,11.98404103,1.724680043
MTN,OIL,2020,21.89384275,1
MTN,OIL,2025,23.05569284,1.053067435
MTN,OIL,2030,24.36728216,1.112974202
MTN,OIL,2035,26.39950034,1.205795649
MTN,OIL,2040,27.51742813,1.256856936
MTN,OIL,2045,28.50805459,1.302103743
MTN,OIL,2050,29.46410829,1.34577144
MTN,OIL,2075,34.74736713,1.587083982
MTN,bio,2020,2.65,1
MTN,bio,2025,2.57,0.969811321
MTN,bio,2030,2.5,0.943396226
MTN,bio,2035,2.5,0.943396226
MTN,bio,2040,2.554505839,0.963964468
MTN,bio,2045,2.594034448,0.978880924
MTN,bio,2050,2.627802626,0.991623632
MTN,bio,2075,2.80335281,1.057868985
MTN,nuc,2020,0.76,1
MTN,nuc,2025,0.8,1.052631579
MTN,nuc,2030,0.84,1.105263158
MTN,nuc,2035,0.88,1.157894737
MTN,nuc,2040,0.899186055,1.183139547
MTN,nuc,2045,0.913100126,1.201447534
MTN,nuc,2050,0.924986524,1.217087532
MTN,nuc,2075,0.986780189,1.298394986
CA,COL,2020,2.195296714,1
CA,COL,2025,2.200834854,1.00252273
CA,COL,2030,2.253487362,1.026506963
CA,COL,2035,2.325156623,1.059153694
CA,COL,2040,2.324040501,1.058645278
CA,COL,2045,2.331001891,1.061816326
CA,COL,2050,2.341145742,1.066437046
CA,COL,2075,2.392530999,1.089844021
CA,GAS,2020,6.646899308,1
CA,GAS,2025,6.541113207,0.984084895
CA,GAS,2030,7.56600909,1.138276471
CA,GAS,2035,8.465265628,1.2735661
CA,GAS,2040,8.87646146,1.335428904
CA,GAS,2045,9.242880258,1.390555179
CA,GAS,2050,9.598264137,1.444021294
CA,GAS,2075,11.5909638,1.743815163
CA,OIL,2020,25.90192793,1
CA,OIL,2025,26.75852068,1.033070618
CA,OIL,2030,28.20899945,1.08906949
CA,OIL,2035,29.66839201,1.1454125
CA,OIL,2040,30.581176,1.180652501
CA,OIL,2045,31.48412976,1.215512986
CA,OIL,2050,32.398551,1.250816198
CA,OIL,2075,37.38479941,1.443321112
CA,bio,2020,2.65,1
CA,bio,2025,2.57,0.969811321
CA,bio,2030,2.5,0.943396226
CA,bio,2035,2.5,0.943396226
CA,bio,2040,2.498799949,0.942943377
CA,bio,2045,2.506284811,0.945767853
CA,bio,2050,2.517191443,0.949883563
CA,bio,2075,2.572440685,0.970732334
CA,nuc,2020,0.76,1
CA,nuc,2025,0.8,1.052631579
CA,nuc,2030,0.84,1.105263158
CA,nuc,2035,0.88,1.157894737
CA,nuc,2040,0.879577582,1.157338924
CA,nuc,2045,0.882212253,1.160805597
CA,nuc,2050,0.886051388,1.165857089
CA,nuc,2075,0.905499121,1.191446212
PAC,COL,2020,2.195296714,1
PAC,COL,2025,2.200834854,1.00252273
PAC,COL,2030,2.253487362,1.026506963
PAC,COL,2035,2.325156623,1.059153694
PAC,COL,2040,2.324040501,1.058645278
PAC,COL,2045,2.331001891,1.061816326
PAC,COL,2050,2.341145742,1.066437046
PAC,COL,2075,2.392530999,1.089844021
PAC,GAS,2020,6.646899308,1
PAC,GAS,2025,6.541113207,0.984084895
PAC,GAS,2030,7.56600909,1.138276471
PAC,GAS,2035,8.465265628,1.2735661
PAC,GAS,2040,8.87646146,1.335428904
PAC,GAS,2045,9.242880258,1.390555179
PAC,GAS,2050,9.598264137,1.444021294
PAC,GAS,2075,11.5909638,1.743815163
PAC,OIL,2020,25.90192793,1
PAC,OIL,2025,26.75852068,1.033070618
PAC,OIL,2030,28.20899945,1.08906949
PAC,OIL,2035,29.66839201,1.1454125
PAC,OIL,2040,30.581176,1.180652501
PAC,OIL,2045,31.48412976,1.215512986
PAC,OIL,2050,32.398551,1.250816198
PAC,OIL,2075,37.38479941,1.443321112
PAC,bio,2020,2.65,1
PAC,bio,2025,2.57,0.969811321
PAC,bio,2030,2.5,0.943396226
PAC,bio,2035,2.5,0.943396226
PAC,bio,2040,2.498799949,0.942943377
PAC,bio,2045,2.506284811,0.945767853
PAC,bio,2050,2.517191443,0.949883563
PAC,bio,2075,2.572440685,0.970732334
PAC,nuc,2020,0.76,1
PAC,nuc,2025,0.8,1.052631579
PAC,nuc,2030,0.84,1.105263158
PAC,nuc,2035,0.88,1.157894737
PAC,nuc,2040,0.879577582,1.157338924
PAC,nuc,2045,0.882212253,1.160805597
PAC,nuc,2050,0.886051388,1.165857089
PAC,nuc,2075,0.905499121,1.191446212
