variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AZ,1967,Billion Btu,159735,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1968,Billion Btu,183623,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1969,Billion Btu,192910,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1970,Billion Btu,194132,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1971,Billion Btu,204293,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1972,Billion Btu,225168,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1973,Billion Btu,243872,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1974,Billion Btu,233258,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1975,Billion Btu,230139,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1976,Billion Btu,235052,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1977,Billion Btu,253262,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1978,Billion Btu,267033,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1979,Billion Btu,274217,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1980,Billion Btu,265931,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1981,Billion Btu,269191,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1982,Billion Btu,261440,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1983,Billion Btu,263390,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1984,Billion Btu,279869,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1985,Billion Btu,293447,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1986,Billion Btu,299713,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1987,Billion Btu,312326,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1988,Billion Btu,322840,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1989,Billion Btu,322219,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1990,Billion Btu,325563,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1991,Billion Btu,332408,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1992,Billion Btu,336940,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1993,Billion Btu,352581,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1994,Billion Btu,366258,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1995,Billion Btu,372801,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1996,Billion Btu,394105,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1997,Billion Btu,394605,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1998,Billion Btu,424601,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1999,Billion Btu,447923,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2000,Billion Btu,459904,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2001,Billion Btu,475183,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2002,Billion Btu,485241,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2003,Billion Btu,500087,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2004,Billion Btu,510232,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2005,Billion Btu,532787,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2006,Billion Btu,549475,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2007,Billion Btu,541658,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2008,Billion Btu,505233,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2009,Billion Btu,476281,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2010,Billion Btu,516464,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2011,Billion Btu,513126,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2012,Billion Btu,502691,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2013,Billion Btu,510949,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2014,Billion Btu,516855,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2015,Billion Btu,526871,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2016,Billion Btu,539853,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2017,Billion Btu,543150,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2018,Billion Btu,553991,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,2019,Billion Btu,569174,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,CA,1960,Billion Btu,1224448,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1961,Billion Btu,1292718,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1962,Billion Btu,1316805,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1963,Billion Btu,1354256,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1964,Billion Btu,1421236,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1965,Billion Btu,1491493,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1966,Billion Btu,1592738,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1967,Billion Btu,1654402,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1968,Billion Btu,1779333,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1969,Billion Btu,1829888,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1970,Billion Btu,1832707,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1971,Billion Btu,1909144,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1972,Billion Btu,1932085,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1973,Billion Btu,1987135,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1974,Billion Btu,1899639,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1975,Billion Btu,1955901,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1976,Billion Btu,2065541,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1977,Billion Btu,2207003,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1978,Billion Btu,2373098,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1979,Billion Btu,2354473,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1980,Billion Btu,2363837,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1981,Billion Btu,2345832,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1982,Billion Btu,2230899,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1983,Billion Btu,2253957,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1984,Billion Btu,2373953,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1985,Billion Btu,2364497,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1986,Billion Btu,2447497,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1987,Billion Btu,2578470,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1988,Billion Btu,2730174,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1989,Billion Btu,2817092,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1990,Billion Btu,2834517,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1991,Billion Btu,2691409,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1992,Billion Btu,2681192,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1993,Billion Btu,2630793,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1994,Billion Btu,2752695,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1995,Billion Btu,2817126,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1996,Billion Btu,2866143,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1997,Billion Btu,2799926,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1998,Billion Btu,2807883,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,1999,Billion Btu,2869691,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2000,Billion Btu,3017945,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2001,Billion Btu,2967388,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2002,Billion Btu,3130834,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2003,Billion Btu,3041509,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2004,Billion Btu,3194101,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2005,Billion Btu,3280275,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2006,Billion Btu,3328715,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2007,Billion Btu,3355466,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2008,Billion Btu,3145159,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2009,Billion Btu,3063147,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2010,Billion Btu,2934473,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2011,Billion Btu,2828851,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2012,Billion Btu,2773611,SEDS.TEACB.CA.A
