"state","plant_type_full","year","Value"
"TN","slr_X",2020,8909.8940954375
"TN","wnd_X",2020,8903.965663
"TX","bio_X",2020,20093.0107441667
"TX","col_X1",2020,5896.88207286667
"TX","col_X2",2020,11094.3172770833
"TX","col_X3",2020,14144.367686
"TX","hyd_X",2020,8904.02624395
"TX","msw_X",2020,5773.820571
"TX","ngcc_X1",2020,7131.00191319118
"TX","ngcc_X2",2020,11687.42183
"TX","ngcc_X3",2020,13498.64806
"TX","ngtb_X1",2020,7710.96397698039
"TX","ngtb_X2",2020,11628.6098433333
"TX","ngtb_X3",2020,23675.5798207143
"TX","nuc_X",2020,10441.60877
"TX","oth_X",2020,8903.9977615
"TX","slr_X",2020,8904.03266859016
"TX","wnd_X",2020,8902.26805779545
"UT","col_X1",2020,9240.21886633333
"UT","col_X2",2020,10327.50127
"UT","col_X3",2020,14854.54163
"UT","geo_X",2020,8903.99434
"UT","hyd_X",2020,8905.12848062069
"UT","ngcc_X1",2020,7848.14334366667
"UT","ngtb_X1",2020,8336.01597966667
"UT","ngtb_X2",2020,11833.8828742857
"UT","ngtb_X3",2020,33586.31816
"UT","oth_X",2020,13209.4388
"UT","slr_X",2020,8904.01750370968
"UT","wnd_X",2020,8904.0321112
"VA","bio_X",2020,11350.3056535
"VA","col_X1",2020,5214.56283971429
"VA","col_X2",2020,11219.99274
"VA","col_X3",2020,24082.5929577778
"VA","hyd_X",2020,8904.27602456522
"VA","msw_X",2020,20144.09064
"VA","ngcc_X1",2020,7470.72534454545
"VA","ngtb_X1",2020,9003.70717828125
"VA","ngtb_X2",2020,11817.2710194737
"VA","ngtb_X3",2020,16094.3419806667
"VA","nuc_X",2020,10441.608775
"VA","oth_X",2020,4075.066487
"VA","slr_X",2020,8903.99387838462
"VT","bio_X",2020,11174.1209013333
"VT","col_X1",2020,4671.580812
"VT","hyd_X",2020,8904.01215442222
"VT","ngtb_X1",2020,9844.5959265
"VT","ngtb_X3",2020,25181.9999233333
"VT","oth_X",2020,0
"VT","slr_X",2020,8904.11197525641
"VT","wnd_X",2020,8904.0099422
"WA","bio_X",2020,6600.88562277778
"WA","col_X1",2020,4888.6595398
"WA","col_X2",2020,11291.092495
"WA","hyd_X",2020,8903.99772761972
"WA","msw_X",2020,21148.64306
"WA","ngcc_X1",2020,7678.78744322222
"WA","ngtb_X1",2020,7183.0113644
"WA","ngtb_X2",2020,11759.68319
"WA","ngtb_X3",2020,14904.0473366667
"WA","nuc_X",2020,10441.6088
"WA","oth_X",2020,4835.281629
"WA","slr_X",2020,8903.1515515
"WA","stog_X1",2020,0
"WA","wnd_X",2020,8904.00240995238
"WI","bio_X",2020,9454.03380611111
"WI","col_X1",2020,6346.5584187
"WI","col_X2",2020,11073.78057
"WI","col_X3",2020,16898.358115
"WI","hyd_X",2020,8904.32352348485
"WI","msw_X",2020,14735.5985873333
"WI","ngcc_X1",2020,7442.94805666667
"WI","ngtb_X1",2020,8102.57032433333
"WI","ngtb_X2",2020,11883.4894573333
"WI","ngtb_X3",2020,17560.8088668421
"WI","nuc_X",2020,10441.6088
"WI","oth_X",2020,7135.714517
"WI","slr_X",2020,8903.93107122727
"WI","wnd_X",2020,8904.04938061538
"WV","col_X1",2020,8259.77883325
"WV","col_X2",2020,10435.5228
"WV","col_X3",2020,13849.17791
"WV","hyd_X",2020,8904.02552291667
"WV","ngtb_X1",2020,10403.30073
"WV","ngtb_X2",2020,11611.38234
"WV","ngtb_X3",2020,14557.60369
"WV","wnd_X",2020,8903.998107
"WY","col_X1",2020,3599.3003016
"WY","col_X2",2020,10988.8529157143
"WY","col_X3",2020,12466.6567966667
"WY","hyd_X",2020,8904.03393533333
"WY","ngcc_X1",2020,7759.439806
"WY","ngtb_X1",2020,8695.2548228
"WY","ngtb_X2",2020,11658.335945
"WY","ngtb_X3",2020,18444.0982966667
"WY","oth_X",2020,4212.142957
"WY","slr_X",2020,8904.001377
"WY","wnd_X",2020,8903.97674433333
"CT","col_N",2020,8373.687963
"MA","col_N",2020,8373.687963
"ME","col_N",2020,8373.687963
"NH","col_N",2020,8373.687963
"RI","col_N",2020,8373.687963
"VT","col_N",2020,8373.687963
"CT","col_Nccs",2020,11311.56665
"MA","col_Nccs",2020,11311.56665
"ME","col_Nccs",2020,11311.56665
"NH","col_Nccs",2020,11311.56665
"RI","col_Nccs",2020,11311.56665
"VT","col_Nccs",2020,11311.56665
"CT","ngcc_N",2020,6330.245483
"MA","ngcc_N",2020,6330.245483
"ME","ngcc_N",2020,6330.245483
"NH","ngcc_N",2020,6330.245483
"RI","ngcc_N",2020,6330.245483
"VT","ngcc_N",2020,6330.245483
"CT","ngcc_Nccs",2020,7280.36979
"MA","ngcc_Nccs",2020,7280.36979
"ME","ngcc_Nccs",2020,7280.36979
"NH","ngcc_Nccs",2020,7280.36979
"RI","ngcc_Nccs",2020,7280.36979
"VT","ngcc_Nccs",2020,7280.36979
"CT","ngtb_N",2020,9556.081117
"MA","ngtb_N",2020,9556.081117
"ME","ngtb_N",2020,9556.081117
"NH","ngtb_N",2020,9556.081117
"RI","ngtb_N",2020,9556.081117
"VT","ngtb_N",2020,9556.081117
"CT","nuc_N",2020,10488
"MA","nuc_N",2020,10488
"ME","nuc_N",2020,10488
"NH","nuc_N",2020,10488
"RI","nuc_N",2020,10488
"VT","nuc_N",2020,10488
"CT","bio_N",2020,12897.92085
"MA","bio_N",2020,12897.92085
"ME","bio_N",2020,12897.92085
"NH","bio_N",2020,12897.92085
"RI","bio_N",2020,12897.92085
"VT","bio_N",2020,12897.92085
"CT","lfg_N_hi",2020,18000
"MA","lfg_N_hi",2020,18000
"ME","lfg_N_hi",2020,18000
"NH","lfg_N_hi",2020,18000
"RI","lfg_N_hi",2020,18000
"VT","lfg_N_hi",2020,18000
"CT","lfg_N_lo",2020,18000
"MA","lfg_N_lo",2020,18000
"ME","lfg_N_lo",2020,18000
"NH","lfg_N_lo",2020,18000
"RI","lfg_N_lo",2020,18000
"VT","lfg_N_lo",2020,18000
"CT","lfg_N_vl",2020,18000
"MA","lfg_N_vl",2020,18000
"ME","lfg_N_vl",2020,18000
"NH","lfg_N_vl",2020,18000
"RI","lfg_N_vl",2020,18000
"VT","lfg_N_vl",2020,18000
"CT","fc_N",2020,9209.489281
"MA","fc_N",2020,9209.489281
"ME","fc_N",2020,9209.489281
"NH","fc_N",2020,9209.489281
"RI","fc_N",2020,9209.489281
"VT","fc_N",2020,9209.489281
"CT","geo_N_1",2020,32969
"MA","geo_N_1",2020,32969
"ME","geo_N_1",2020,32969
"NH","geo_N_1",2020,32969
"RI","geo_N_1",2020,32969
"VT","geo_N_1",2020,32969
"CT","geo_N_2",2020,32969
"MA","geo_N_2",2020,32969
"ME","geo_N_2",2020,32969
"NH","geo_N_2",2020,32969
"RI","geo_N_2",2020,32969
"VT","geo_N_2",2020,32969
"CT","geo_N_3",2020,32969
"MA","geo_N_3",2020,32969
"ME","geo_N_3",2020,32969
"NH","geo_N_3",2020,32969
"RI","geo_N_3",2020,32969
"VT","geo_N_3",2020,32969
"CT","geo_N_4",2020,32969
"MA","geo_N_4",2020,32969
"ME","geo_N_4",2020,32969
"NH","geo_N_4",2020,32969
"RI","geo_N_4",2020,32969
"VT","geo_N_4",2020,32969
"CT","geo_N_5",2020,32969
"MA","geo_N_5",2020,32969
"ME","geo_N_5",2020,32969
"NH","geo_N_5",2020,32969
"RI","geo_N_5",2020,32969
"VT","geo_N_5",2020,32969
"CT","geo_N_6",2020,32969
"MA","geo_N_6",2020,32969
"ME","geo_N_6",2020,32969
"NH","geo_N_6",2020,32969
"RI","geo_N_6",2020,32969
"VT","geo_N_6",2020,32969
"CT","geo_N_7",2020,32969
