region,plant_type,load_segment,Value
Northeast,ngcc_Nccs,sprfl_mrnevn,0.87
Northeast,ngcc_Nccs,sprfl_night,0.87
Northeast,ngcc_Nccs,wntr_day,0.87
Northeast,ngcc_Nccs,wntr_mrnevn,0.87
Northeast,ngcc_Nccs,wntr_night,0.87
Northeast,ngcc_Nccs,peak,0.87
Northeast,ngtb_N,sum_day,0.92
Northeast,ngtb_N,sum_mrnevn,0.92
Northeast,ngtb_N,sum_night,0.92
Northeast,ngtb_N,sprfl_day,0.92
Northeast,ngtb_N,sprfl_mrnevn,0.92
Northeast,ngtb_N,sprfl_night,0.92
Northeast,ngtb_N,wntr_day,0.92
Northeast,ngtb_N,wntr_mrnevn,0.92
Northeast,ngtb_N,wntr_night,0.92
Northeast,ngtb_N,peak,0.92
Northeast,nuc_N,sum_day,0.9
Northeast,nuc_N,sum_mrnevn,0.9
Northeast,nuc_N,sum_night,0.9
Northeast,nuc_N,sprfl_day,0.9
Northeast,nuc_N,sprfl_mrnevn,0.9
Northeast,nuc_N,sprfl_night,0.9
Northeast,nuc_N,wntr_day,0.9
Northeast,nuc_N,wntr_mrnevn,0.9
Northeast,nuc_N,wntr_night,0.9
Northeast,nuc_N,peak,0.9
Northeast,bio_N,sum_day,0.83
Northeast,bio_N,sum_mrnevn,0.83
Northeast,bio_N,sum_night,0.83
Northeast,bio_N,sprfl_day,0.83
Northeast,bio_N,sprfl_mrnevn,0.83
Northeast,bio_N,sprfl_night,0.83
Northeast,bio_N,wntr_day,0.83
Northeast,bio_N,wntr_mrnevn,0.83
Northeast,bio_N,wntr_night,0.83
Northeast,bio_N,peak,0.83
Northeast,lfg_N_hi,sum_day,0.9
Northeast,lfg_N_hi,sum_mrnevn,0.9
Northeast,lfg_N_hi,sum_night,0.9
Northeast,lfg_N_hi,sprfl_day,0.9
Northeast,lfg_N_hi,sprfl_mrnevn,0.9
Northeast,lfg_N_hi,sprfl_night,0.9
Northeast,lfg_N_hi,wntr_day,0.9
Northeast,lfg_N_hi,wntr_mrnevn,0.9
Northeast,lfg_N_hi,wntr_night,0.9
Northeast,lfg_N_hi,peak,0.9
Northeast,lfg_N_lo,sum_day,0.9
Northeast,lfg_N_lo,sum_mrnevn,0.9
Northeast,lfg_N_lo,sum_night,0.9
Northeast,lfg_N_lo,sprfl_day,0.9
Northeast,lfg_N_lo,sprfl_mrnevn,0.9
Northeast,lfg_N_lo,sprfl_night,0.9
Northeast,lfg_N_lo,wntr_day,0.9
Northeast,lfg_N_lo,wntr_mrnevn,0.9
Northeast,lfg_N_lo,wntr_night,0.9
Northeast,lfg_N_lo,peak,0.9
Northeast,lfg_N_vl,sum_day,0.9
Northeast,lfg_N_vl,sum_mrnevn,0.9
Northeast,lfg_N_vl,sum_night,0.9
Northeast,lfg_N_vl,sprfl_day,0.9
Northeast,lfg_N_vl,sprfl_mrnevn,0.9
Northeast,lfg_N_vl,sprfl_night,0.9
Northeast,lfg_N_vl,wntr_day,0.9
Northeast,lfg_N_vl,wntr_mrnevn,0.9
Northeast,lfg_N_vl,wntr_night,0.9
Northeast,lfg_N_vl,peak,0.9
Northeast,fc_N,sum_day,0.9
Northeast,fc_N,sum_mrnevn,0.9
Northeast,fc_N,sum_night,0.9
