"region","unit","status","plant_type","renewable","time","generation","vomcost","variable_cost","capacity","fomcost","fixed_cost","total_cost","wholesale_cost"
"South","col_X2","existing","col","no",2020,294.879543966472,9.40508953675046,2773.36851356081,100.3951,60.6002534344925,6083.96850358122,8857.33701714203,0
"South","col_X3","existing","col","no",2020,32.2098058965766,6.81635757303657,219.553554349168,28.973,57.9464708384313,1678.88309960187,1898.43665395104,0
"South","hyd_X","existing","hyd","yes",2020,53.62167938,0,0,16.9351,92.7079687386038,1570.01872138513,1570.01872138513,0
"South","msw_X","existing","msw","no",2020,4.81582610299108,3.703771430189,17.8367191330168,1.6405,10.212870066943,16.75421334482,34.5909324778368,0
"South","ngcc_X1","existing","ngcc","no",2020,728.069211459508,2.24414345089399,1633.8917526944,160.3174,13.0280219697216,2088.61860932865,3722.51036202305,0
"South","ngcc_X2","existing","ngcc","no",2020,0.09572042000004,2.36201980292905,0.22609352758478,0.6033,18.7595966219605,11.3176646420288,11.5437581696135,0
"South","ngcc_X3","existing","ngcc","no",2020,0.062332999999,2.2055859127281,0.137480786695875,0.1004,16.5043912314741,1.65704087964,1.79452166633587,0
"South","ngtb_X1","existing","ngtb","no",2020,49.091789646,4.77291280162922,234.310831256282,28.5276,12.5544566078626,358.148516326461,592.459347582743,0
"South","ngtb_X2","existing","ngtb","no",2020,20.860642476,4.76968294074441,99.4986505507455,30.8764,12.4277866520511,383.725311783392,483.223962334137,0
"South","ngtb_X3","existing","ngtb","no",2020,5.357821409,4.77310313032283,25.5734341390086,21.3064,15.0876192643666,321.4628510943,347.036285233309,0
"South","nuc_X","existing","nuc","yes",2020,368.075723,2.55753988213996,941.36834122,46.8338,131.26898556171,6147.825416,7089.19375722,0
"South","oth_X","existing","oth","no",2020,0.91396296399938,2.38930320917619,2.1837346429519,1.7743,9.10456177187961,16.154223951846,18.3379585947979,0
"South","slr_X","existing","slr","yes",2020,46.97946661,0.00281749766762624,0.1323645376,28.0893,22.3840727481781,628.7529346454,628.885299183,0
"South","stog_X1","existing","stog","no",2020,0.415573,0,0,0.358,0,0,0,0
"South","stog_X2","existing","stog","no",2020,-2.936607,0,0,9.2379,0,0,0,0
"South","wnd_X","existing","wnd","yes",2020,134.7534157,0,0,45.8593,47.6849622769366,2186.79899054672,2186.79899054672,0
"West","bio_X","existing","bio","yes",2020,5.980825722924,5.33462445952974,31.905459189695,1.4999,157.329848638643,235.9790399731,267.884499162795,0
"West","col_X1","existing","col","no",2020,17.8852230140252,6.56320279714735,117.384345713254,4.1374,78.6605443898966,325.450136358758,442.834482072012,0
"West","col_X2","existing","col","no",2020,114.95254277166,9.4425822273063,1085.44883735934,26.0212,61.8111545848675,1608.40041568375,2693.84925304309,0
"West","col_X3","existing","col","no",2020,8.2968040519979,7.33732256154955,60.8763275594799,6.8216,38.5430513796499,262.92527929142,323.8016068509,0
"West","geo_X","existing","geo","yes",2020,15.975127,0,0,3.748,166.596347383191,624.4031099922,624.4031099922,0
"West","hyd_X","existing","hyd","yes",2020,143.6943634,0,0,50.3621,92.5231495970518,4659.66011232168,4659.66011232168,0
"West","msw_X","existing","msw","no",2020,0.85462237201,3.74317802159357,3.19900367967,0.196,25.0755311371122,4.914804102874,8.113807782544,0
