"state","plant_type_full","Value"
"MI","ngcc_X1",2.27399652848154
"MI","ngcc_X3",2.21329416602491
"MI","ngtb_X1",4.7901825290509
"MI","ngtb_X2",4.79956519373549
"MI","ngtb_X3",4.79392013317902
"MI","nuc_X",2.55696031437946
"MI","oth_X",3.33009206716695
"MI","slr_X",0
"MI","stog_X2",0
"MI","wnd_X",0
"MN","bio_X",5.26741042864392
"MN","col_X1",3.23267548187611
"MN","col_X2",9.44877375255798
"MN","col_X3",3.48478935929196
"MN","hyd_X",0
"MN","msw_X",0.942969809088109
"MN","ngcc_X1",2.25048025765554
"MN","ngtb_X1",4.76968233465472
"MN","ngtb_X2",4.74457102839333
"MN","ngtb_X3",4.7919236358933
"MN","nuc_X",2.5569603142873
"MN","oth_X",3.30270597215906
"MN","slr_X",0
"MN","wnd_X",0
"MO","bio_X",5.2665798268279
"MO","col_X1",7.28572492452958
"MO","col_X2",8.32006891132451
"MO","col_X3",5.8189044123732
"MO","hyd_X",0
"MO","ngcc_X1",2.26266719371936
"MO","ngtb_X1",4.79192363556388
"MO","ngtb_X2",4.78617884986561
"MO","ngtb_X3",4.78701069106198
"MO","nuc_X",2.55696031485997
"MO","oth_X",0
"MO","slr_X",0
"MO","stog_X1",0
"MO","stog_X2",0
"MO","wnd_X",0
"MS","bio_X",5.27379866038675
"MS","col_X1",3.24423411237091
"MS","col_X2",7.25377902980621
"MS","col_X3",2.80211006918628
"MS","ngcc_X1",2.27856155756904
"MS","ngcc_X2",2.21329416587097
"MS","ngcc_X3",2.21329416613272
"MS","ngtb_X1",4.79192363570638
"MS","ngtb_X2",4.79192363569961
"MS","ngtb_X3",4.79192363623474
"MS","nuc_X",2.55696031475691
"MS","slr_X",0
"MT","bio_X",5.21143182720953
"MT","col_X1",3.21158773787753
"MT","col_X2",10.0990168461385
"MT","col_X3",5.82080900224
"MT","hyd_X",0
"MT","ngtb_X1",4.79192363567492
"MT","ngtb_X2",4.7739054879616
"MT","ngtb_X3",4.7919236354587
"MT","slr_X",0
"MT","wnd_X",0
"NC","bio_X",5.28192450300804
"NC","col_X1",7.39223523901809
"NC","col_X2",8.03266388677554
"NC","col_X3",7.77760406116803
"NC","hyd_X",0
"NC","msw_X",0.0859806705257499
"NC","ngcc_X1",2.24906911591003
"NC","ngcc_X3",3.09887452764584
"NC","ngtb_X1",4.75954433994553
"NC","ngtb_X2",4.78329110156792
"NC","ngtb_X3",4.77804402148026
"NC","nuc_X",2.55696031442228
"NC","oth_X",0
"NC","slr_X",0
"NC","wnd_X",0
"ND","bio_X",5.21143182702703
"ND","col_X1",6.24480711663053
"ND","col_X2",8.77894842277652
"ND","col_X3",8.83832162622861
"ND","hyd_X",0
"ND","ngtb_X1",4.79192363522934
"ND","ngtb_X3",4.79192363535489
"ND","wnd_X",0
"NE","col_X1",3.21158773789153
"NE","col_X2",7.62166717264577
"NE","col_X3",7.62205891870829
"NE","hyd_X",0
"NE","ngcc_X1",2.26654802962151
"NE","ngtb_X1",4.7878769508793
"NE","ngtb_X2",4.85930238477006
"NE","ngtb_X3",4.68046028655187
"NE","nuc_X",2.55696031417228
"NE","slr_X",0
"NE","wnd_X",0
"NH","bio_X",5.61007134052305
"NH","col_X1",3.21158773797561
"NH","col_X2",7.97133545608093
"NH","col_X3",5.97152665428322
"NH","hyd_X",0
"NH","msw_X",2.22797920005234
"NH","ngcc_X1",2.22155565651283
"NH","ngtb_X1",4.79192363542207
"NH","ngtb_X3",4.79192363640329
"NH","nuc_X",2.55696031410509
"NH","wnd_X",0
"NJ","col_X1",3.28205234727528
"NJ","col_X2",8.10325557221278
"NJ","col_X3",8.57450007259748
"NJ","hyd_X",0
"NJ","msw_X",2.33316285239866
"NJ","ngcc_X1",2.27889751939843
"NJ","ngcc_X2",3.07800437715283
"NJ","ngtb_X1",4.77741360223774
"NJ","ngtb_X2",4.7920268290965
"NJ","ngtb_X3",4.74751787108345
"NJ","nuc_X",2.55696031440696
"NJ","oth_X",0
"NJ","slr_X",0
"NJ","stog_X2",0
"NJ","wnd_X",0
"NM","col_X1",7.57605306663734
"NM","col_X2",7.94799571855678
"NM","col_X3",3.25667926305954
"NM","geo_X",0
"NM","hyd_X",0
"NM","ngcc_X1",2.26064122452163
"NM","ngcc_X2",2.29050136664385
"NM","ngtb_X1",4.79192363659084
"NM","ngtb_X2",4.78988770965749
"NM","ngtb_X3",4.79192363557136
"NM","oth_X",0
"NM","slr_X",0
"NM","wnd_X",0
"NV","col_X1",3.2115877382778
"NV","col_X2",7.15821975976941
"NV","col_X3",3.28817452005629
"NV","geo_X",0
"NV","hyd_X",0
"NV","ngcc_X1",2.27851001591565
"NV","ngtb_X1",4.79192363595176
"NV","ngtb_X2",4.79192363497037
"NV","ngtb_X3",4.79192363506447
"NV","slr_X",0.106163615592115
"NV","wnd_X",0
"NY","bio_X",5.23497569713525
"NY","col_X1",3.2101112126852
"NY","col_X2",3.5539024923588
"NY","col_X3",2.983514036697
"NY","hyd_X",0
"NY","msw_X",1.50661958773622
"NY","ngcc_X1",2.26707292889753
"NY","ngtb_X1",4.77989516438821
"NY","ngtb_X2",4.78914656075067
"NY","ngtb_X3",4.75026960848172
"NY","nuc_X",2.55696031415835
"NY","oth_X",0
"NY","slr_X",0
"NY","stog_X2",0
"NY","wnd_X",0
"OH","bio_X",5.77493638921454
"OH","col_X1",7.50020935823547
"OH","col_X2",7.76345102889489
"OH","col_X3",3.42673180552446
"OH","hyd_X",0
"OH","msw_X",2.54783760012128
"OH","ngcc_X1",2.28629200131657
"OH","ngcc_X3",2.21329416639419
"OH","ngtb_X1",4.77336480299145
"OH","ngtb_X2",4.78691645204453
"OH","ngtb_X3",4.79021977685747
"OH","nuc_X",2.55696031424243
"OH","oth_X",0
"OH","slr_X",0
"OH","wnd_X",0
"OK","bio_X",5.22099241287299
"OK","col_X1",4.11531896908805
"OK","col_X2",7.85607741847526
"OK","col_X3",4.26793782885533
"OK","hyd_X",0
"OK","msw_X",2.22797919997765
"OK","ngcc_X1",2.26707991056034
"OK","ngtb_X1",4.79192363598243
"OK","ngtb_X2",4.7919204328949
"OK","ngtb_X3",4.79191236612619
"OK","slr_X",0
"OK","stog_X2",0
"OK","wnd_X",0
"OR","bio_X",5.24514713681721
"OR","col_X1",3.22734900283586
"OR","col_X2",13.1798710937063
"OR","col_X3",5.4395669383378
"OR","geo_X",0
"OR","hyd_X",0
"OR","msw_X",2.22797919982549
"OR","ngcc_X1",2.27381822963129
"OR","ngtb_X1",4.79192363581102
"OR","ngtb_X2",4.79192363577522
"OR","ngtb_X3",4.79192363571574
"OR","oth_X",0
"OR","slr_X",0
"OR","wnd_X",0
"PA","bio_X",5.55749771627245
"PA","col_X1",7.35341736967301
"PA","col_X2",11.7940257283023
"PA","col_X3",5.98892913413632
"PA","hyd_X",0
"PA","msw_X",2.69544142005824
"PA","ngcc_X1",2.2734902184483
"PA","ngcc_X2",0
"PA","ngtb_X1",4.77975005605846
"PA","ngtb_X2",4.81270657583181
"PA","ngtb_X3",4.79031607172803
"PA","nuc_X",2.55696031433605
"PA","oth_X",-1.70601349461258
"PA","slr_X",0
"PA","stog_X2",0
"PA","wnd_X",0
"RI","col_X1",3.24092210445265
"RI","col_X2",0
"RI","hyd_X",0
"RI","ngcc_X1",2.24401205643164
"RI","ngtb_X1",4.78287951875041
"RI","ngtb_X3",4.79192363606742
"RI","slr_X",0
"RI","wnd_X",0
