"state","plant_type","load_segment","Value"
"VT","ngcc_X2","wntr_night",0.822
"CT","ngcc_X2","peak",0.88
"MA","ngcc_X2","peak",0.88
"ME","ngcc_X2","peak",0.88
"NH","ngcc_X2","peak",0.88
"RI","ngcc_X2","peak",0.88
"VT","ngcc_X2","peak",0.88
"CT","ngcc_X3","sum_day",0.88
"MA","ngcc_X3","sum_day",0.88
"ME","ngcc_X3","sum_day",0.88
"NH","ngcc_X3","sum_day",0.88
"RI","ngcc_X3","sum_day",0.88
"VT","ngcc_X3","sum_day",0.88
"CT","ngcc_X3","sum_mrnevn",0.88
"MA","ngcc_X3","sum_mrnevn",0.88
"ME","ngcc_X3","sum_mrnevn",0.88
"NH","ngcc_X3","sum_mrnevn",0.88
"RI","ngcc_X3","sum_mrnevn",0.88
"VT","ngcc_X3","sum_mrnevn",0.88
"CT","ngcc_X3","sum_night",0.88
"MA","ngcc_X3","sum_night",0.88
"ME","ngcc_X3","sum_night",0.88
"NH","ngcc_X3","sum_night",0.88
"RI","ngcc_X3","sum_night",0.88
"VT","ngcc_X3","sum_night",0.88
"CT","ngcc_X3","sprfl_day",0.822
"MA","ngcc_X3","sprfl_day",0.822
"ME","ngcc_X3","sprfl_day",0.822
"NH","ngcc_X3","sprfl_day",0.822
"RI","ngcc_X3","sprfl_day",0.822
"VT","ngcc_X3","sprfl_day",0.822
"CT","ngcc_X3","sprfl_mrnevn",0.822
"MA","ngcc_X3","sprfl_mrnevn",0.822
"ME","ngcc_X3","sprfl_mrnevn",0.822
"NH","ngcc_X3","sprfl_mrnevn",0.822
"RI","ngcc_X3","sprfl_mrnevn",0.822
"VT","ngcc_X3","sprfl_mrnevn",0.822
"CT","ngcc_X3","sprfl_night",0.822
"MA","ngcc_X3","sprfl_night",0.822
"ME","ngcc_X3","sprfl_night",0.822
"NH","ngcc_X3","sprfl_night",0.822
"RI","ngcc_X3","sprfl_night",0.822
"VT","ngcc_X3","sprfl_night",0.822
"CT","ngcc_X3","wntr_day",0.822
"MA","ngcc_X3","wntr_day",0.822
"ME","ngcc_X3","wntr_day",0.822
"NH","ngcc_X3","wntr_day",0.822
"RI","ngcc_X3","wntr_day",0.822
"VT","ngcc_X3","wntr_day",0.822
"CT","ngcc_X3","wntr_mrnevn",0.822
"MA","ngcc_X3","wntr_mrnevn",0.822
"ME","ngcc_X3","wntr_mrnevn",0.822
"NH","ngcc_X3","wntr_mrnevn",0.822
"RI","ngcc_X3","wntr_mrnevn",0.822
"VT","ngcc_X3","wntr_mrnevn",0.822
"CT","ngcc_X3","wntr_night",0.822
"MA","ngcc_X3","wntr_night",0.822
"ME","ngcc_X3","wntr_night",0.822
"NH","ngcc_X3","wntr_night",0.822
"RI","ngcc_X3","wntr_night",0.822
"VT","ngcc_X3","wntr_night",0.822
"CT","ngcc_X3","peak",0.88
"MA","ngcc_X3","peak",0.88
"ME","ngcc_X3","peak",0.88
"NH","ngcc_X3","peak",0.88
"RI","ngcc_X3","peak",0.88
"VT","ngcc_X3","peak",0.88
"CT","ngtb_X1","sum_day",0.91504413
"MA","ngtb_X1","sum_day",0.91504413
"ME","ngtb_X1","sum_day",0.91504413
"NH","ngtb_X1","sum_day",0.91504413
