"state","plant_type_full","Value"
"ME","msw_X",6.87347779379787
"ME","ngcc_X1",12.6672284192712
"ME","ngtb_X1",11.0474590702609
"ME","ngtb_X2",21.9031421510784
"ME","ngtb_X3",16.6346519971429
"ME","oth_X",20.4718021719002
"ME","slr_X",20.6915296
"ME","wnd_X",47.6538110163314
"MI","bio_X",190.920208340621
"MI","col_X1",120.182556358028
"MI","col_X2",93.8267106950712
"MI","col_X3",176.86990462553
"MI","hyd_X",92.6869600557455
"MI","msw_X",1.2457707026632
"MI","ngcc_X1",12.8914033551127
"MI","ngcc_X3",12.6672284191419
"MI","ngtb_X1",11.6608246079895
"MI","ngtb_X2",11.552749599444
"MI","ngtb_X3",14.0664896261435
"MI","nuc_X",131.239238520201
"MI","oth_X",1.23992620912712
"MI","slr_X",20.6915296
"MI","stog_X2",0
"MI","wnd_X",47.6538110132439
"MN","bio_X",199.10696074394
"MN","col_X1",84.1555673613064
"MN","col_X2",57.5935986100923
"MN","col_X3",84.0549581871153
"MN","hyd_X",92.6869600575012
"MN","msw_X",2.24806193192585
"MN","ngcc_X1",12.8993447349034
"MN","ngtb_X1",12.2097439405981
"MN","ngtb_X2",14.9756466105549
"MN","ngtb_X3",25.2549606241033
"MN","nuc_X",131.239238499359
"MN","oth_X",12.3663853949217
"MN","slr_X",20.6915295998196
"MN","wnd_X",47.6538110157113
"MO","bio_X",136.630741013133
"MO","col_X1",48.54900745734
"MO","col_X2",61.3183659393226
"MO","col_X3",67.5512968658276
"MO","hyd_X",92.6869600498024
"MO","ngcc_X1",13.0395294443149
"MO","ngtb_X1",15.8293954286749
"MO","ngtb_X2",11.9521273658981
"MO","ngtb_X3",17.5197450934938
"MO","nuc_X",131.239238469008
"MO","oth_X",0
"MO","slr_X",20.6915295987118
"MO","stog_X1",0
"MO","stog_X2",0
"MO","wnd_X",47.6538110101105
"MS","bio_X",295.469705196141
"MS","col_X1",79.4557977234727
"MS","col_X2",113.734401690231
"MS","col_X3",65.2047416111375
"MS","ngcc_X1",13.0166702263856
"MS","ngcc_X2",20.6877785203252
"MS","ngcc_X3",24.7522524
"MS","ngtb_X1",11.0474590703596
"MS","ngtb_X2",11.047459067244
"MS","ngtb_X3",11.6545736514653
"MS","nuc_X",131.239238472222
"MS","slr_X",20.691529598166
"MT","bio_X",135.638077
"MT","col_X1",121.2093735025
"MT","col_X2",57.8132805847302
"MT","col_X3",61.6815101935788
"MT","hyd_X",92.686960052501
"MT","ngtb_X1",11.0474590670148
"MT","ngtb_X2",11.0474590683441
"MT","ngtb_X3",19.4459775294586
"MT","slr_X",20.6915296
"MT","wnd_X",47.6538110142482
"NC","bio_X",203.342641192974
"NC","col_X1",88.7844469159662
"NC","col_X2",62.5864925285248
"NC","col_X3",79.0285091457996
"NC","hyd_X",91.2335091071996
"NC","msw_X",1.19017062222222
"NC","ngcc_X1",12.801335745247
"NC","ngcc_X3",38.1472219518722
"NC","ngtb_X1",11.0702291175195
"NC","ngtb_X2",13.9199756954039
"NC","ngtb_X3",11.8829289040471
"NC","nuc_X",131.239238511873
"NC","oth_X",0
"NC","slr_X",20.6915295998978
"NC","wnd_X",47.6538110144231
"ND","bio_X",135.638077040816
"ND","col_X1",163.890083928097
"ND","col_X2",132.627836448338
"ND","col_X3",63.4710780644898
"ND","hyd_X",92.6869600445663
"ND","ngtb_X1",11.047459066506
"ND","ngtb_X3",12.968305710271
"ND","wnd_X",47.6538110148244
"NE","col_X1",42.9796243924051
"NE","col_X2",46.1561241999127
"NE","col_X3",100.19946125708
"NE","hyd_X",92.6869600348802
"NE","ngcc_X1",12.6692811355085
"NE","ngtb_X1",20.6357578891705
"NE","ngtb_X2",15.2671374472125
"NE","ngtb_X3",17.0065722432331
"NE","nuc_X",131.239238451935
"NE","slr_X",18.7685249910781
"NE","wnd_X",47.6538110151095
"NH","bio_X",137.058856597434
"NH","col_X1",42.9796243857143
"NH","col_X2",79.6068859320557
"NH","col_X3",187.011846056915
"NH","hyd_X",92.6869600651749
"NH","msw_X",2.84563680028571
"NH","ngcc_X1",12.6734120028592
"NH","ngtb_X1",21.0790598294253
"NH","ngtb_X3",17.0253860328215
"NH","nuc_X",131.239238486312
"NH","wnd_X",47.6538110158804
"NJ","col_X1",43.1501443974659
"NJ","col_X2",55.5643979929825
"NJ","col_X3",55.8511676021461
"NJ","hyd_X",92.6869600813008
"NJ","msw_X",2.86449081704518
"NJ","ngcc_X1",13.0460462851368
"NJ","ngcc_X2",17.137686228827
"NJ","ngtb_X1",11.1884904599813
"NJ","ngtb_X2",15.6711486243515
"NJ","ngtb_X3",18.5208256047701
"NJ","nuc_X",131.239238493954
"NJ","oth_X",0
"NJ","slr_X",20.6915296
"NJ","stog_X2",0
"NJ","wnd_X",47.6538110133333
"NM","col_X1",59.6682791608135
"NM","col_X2",60.993055525641
"NM","col_X3",84.2907837526754
"NM","geo_X",200.140783645833
"NM","hyd_X",92.6869600539877
"NM","ngcc_X1",12.8775513225329
"NM","ngcc_X2",12.8411384853333
"NM","ngtb_X1",11.0474590670293
"NM","ngtb_X2",11.7776752769558
"NM","ngtb_X3",19.7179587303993
"NM","oth_X",0
"NM","slr_X",20.6915296003261
"NM","wnd_X",47.6538110127953
"NV","col_X1",42.9796243866667
"NV","col_X2",112.90299145871
"NV","col_X3",56.5054205984655
"NV","geo_X",192.266888963799
"NV","hyd_X",92.686960053792
"NV","ngcc_X1",12.8336334532635
"NV","ngtb_X1",11.047459064915
"NV","ngtb_X2",11.0474590671126
"NV","ngtb_X3",11.0474590666667
"NV","slr_X",22.4219850665139
"NV","wnd_X",47.6538110133333
"NY","bio_X",212.966985519747
"NY","col_X1",80.7067978662718
"NY","col_X2",74.6274597188743
"NY","col_X3",95.1645655509046
"NY","hyd_X",92.6869600615573
"NY","msw_X",2.5567066511104
"NY","ngcc_X1",12.8601606070573
"NY","ngtb_X1",11.2108840942163
"NY","ngtb_X2",12.3824106981267
"NY","ngtb_X3",19.1308738767368
"NY","nuc_X",131.239238508425
"NY","oth_X",0
"NY","slr_X",20.6915295999043
"NY","stog_X2",0
"NY","wnd_X",47.6538110172459
"OH","bio_X",274.877455435
"OH","col_X1",95.8363203424799
"OH","col_X2",103.818283800348
"OH","col_X3",84.4349656294304
"OH","hyd_X",92.6869600510535
"OH","msw_X",27.9680722413793
"OH","ngcc_X1",12.9613807995388
"OH","ngcc_X3",12.8426725933739
"OH","ngtb_X1",11.2120024811821
"OH","ngtb_X2",17.0495020039809
"OH","ngtb_X3",14.3133393819595
"OH","nuc_X",131.239238510372
"OH","oth_X",0
"OH","slr_X",20.6915296004082
"OH","wnd_X",47.6538110208241
"OK","bio_X",271.619641073529
"OK","col_X1",98.2387277519115
"OK","col_X2",74.1329366232025
"OK","col_X3",100.830851217476
"OK","hyd_X",92.6869600537044
"OK","msw_X",1.0880574109024
"OK","ngcc_X1",13.3453611578792
"OK","ngtb_X1",14.9209214797039
"OK","ngtb_X2",11.9028643246065
"OK","ngtb_X3",11.7011483068433
"OK","slr_X",20.6915296
"OK","stog_X2",0
"OK","wnd_X",47.6538110138911
"OR","bio_X",154.312046678223
"OR","col_X1",69.6350397940594
"OR","col_X2",44.74785852805
"OR","col_X3",44.4024427938931
"OR","geo_X",200.140783666667
"OR","hyd_X",92.6869600518129
"OR","msw_X",2.8456368
