"state","plant_type","pollutant","Value"
"MI","col_X3","CO2",92.4
"OH","col_X3","CO2",92.4
"WI","col_X3","CO2",92.4
"IL","col_X1bio","CO2",92.4
"IN","col_X1bio","CO2",92.4
"MI","col_X1bio","CO2",92.4
"OH","col_X1bio","CO2",92.4
"WI","col_X1bio","CO2",92.4
"IL","col_X2bio","CO2",92.4
"IN","col_X2bio","CO2",92.4
"MI","col_X2bio","CO2",92.4
"OH","col_X2bio","CO2",92.4
"WI","col_X2bio","CO2",92.4
"IL","col_X3bio","CO2",92.4
"IN","col_X3bio","CO2",92.4
"MI","col_X3bio","CO2",92.4
"OH","col_X3bio","CO2",92.4
"WI","col_X3bio","CO2",92.4
"IL","col_X1ccs","CO2",92.4
"IN","col_X1ccs","CO2",92.4
"MI","col_X1ccs","CO2",92.4
"OH","col_X1ccs","CO2",92.4
"WI","col_X1ccs","CO2",92.4
"IL","col_X2ccs","CO2",92.4
"IN","col_X2ccs","CO2",92.4
"MI","col_X2ccs","CO2",92.4
"OH","col_X2ccs","CO2",92.4
"WI","col_X2ccs","CO2",92.4
"IL","col_X3ccs","CO2",92.4
"IN","col_X3ccs","CO2",92.4
"MI","col_X3ccs","CO2",92.4
"OH","col_X3ccs","CO2",92.4
"WI","col_X3ccs","CO2",92.4
"IL","ngcc_X1","CO2",53.05666667
"IN","ngcc_X1","CO2",53.05666667
"MI","ngcc_X1","CO2",53.05666667
"OH","ngcc_X1","CO2",53.05666667
"WI","ngcc_X1","CO2",53.05666667
"IL","ngcc_X2","CO2",53.05666667
"IN","ngcc_X2","CO2",53.05666667
"MI","ngcc_X2","CO2",53.05666667
"OH","ngcc_X2","CO2",53.05666667
"WI","ngcc_X2","CO2",53.05666667
"IL","ngcc_X3","CO2",53.05666667
"IN","ngcc_X3","CO2",53.05666667
"MI","ngcc_X3","CO2",53.05666667
"OH","ngcc_X3","CO2",53.05666667
"WI","ngcc_X3","CO2",53.05666667
"IL","ngtb_X1","CO2",53.05666667
"IN","ngtb_X1","CO2",53.05666667
"MI","ngtb_X1","CO2",53.05666667
"OH","ngtb_X1","CO2",53.05666667
"WI","ngtb_X1","CO2",53.05666667
"IL","ngtb_X2","CO2",53.05666667
"IN","ngtb_X2","CO2",53.05666667
"MI","ngtb_X2","CO2",53.05666667
"OH","ngtb_X2","CO2",53.05666667
"WI","ngtb_X2","CO2",53.05666667
"IL","ngtb_X3","CO2",53.05666667
"IN","ngtb_X3","CO2",53.05666667
"MI","ngtb_X3","CO2",53.05666667
"OH","ngtb_X3","CO2",53.05666667
"WI","ngtb_X3","CO2",53.05666667
"IL","stog_X1","CO2",76.89
"IN","stog_X1","CO2",76.89
"MI","stog_X1","CO2",76.89
"OH","stog_X1","CO2",76.89
"WI","stog_X1","CO2",76.89
"IL","stog_X2","CO2",76.89
"IN","stog_X2","CO2",76.89
"MI","stog_X2","CO2",76.89
"OH","stog_X2","CO2",76.89
"WI","stog_X2","CO2",76.89
"IL","stog_X3","CO2",76.89
"IN","stog_X3","CO2",76.89
"MI","stog_X3","CO2",76.89
"OH","stog_X3","CO2",76.89
"WI","stog_X3","CO2",76.89
"IL","col_N","CO2",92.4
"IN","col_N","CO2",92.4
"MI","col_N","CO2",92.4
"OH","col_N","CO2",92.4
"WI","col_N","CO2",92.4
"IL","col_Nccs","CO2",9.24
"IN","col_Nccs","CO2",9.24
"MI","col_Nccs","CO2",9.24
"OH","col_Nccs","CO2",9.24
"WI","col_Nccs","CO2",9.24
"IL","ngcc_N","CO2",53.05666667
"IN","ngcc_N","CO2",53.05666667
"MI","ngcc_N","CO2",53.05666667
"OH","ngcc_N","CO2",53.05666667
"WI","ngcc_N","CO2",53.05666667
"IL","ngcc_Nccs","CO2",5.305666667
"IN","ngcc_Nccs","CO2",5.305666667
"MI","ngcc_Nccs","CO2",5.305666667
"OH","ngcc_Nccs","CO2",5.305666667
"WI","ngcc_Nccs","CO2",5.305666667
"IL","ngtb_N","CO2",53.05666667
"IN","ngtb_N","CO2",53.05666667
"MI","ngtb_N","CO2",53.05666667
"OH","ngtb_N","CO2",53.05666667
"WI","ngtb_N","CO2",53.05666667
"IA","col_X1","CO2",92.4
"KS","col_X1","CO2",92.4
"MN","col_X1","CO2",92.4
"MO","col_X1","CO2",92.4
"ND","col_X1","CO2",92.4
"NE","col_X1","CO2",92.4
"SD","col_X1","CO2",92.4
"IA","col_X2","CO2",92.4
"KS","col_X2","CO2",92.4
"MN","col_X2","CO2",92.4
"MO","col_X2","CO2",92.4
"ND","col_X2","CO2",92.4
"NE","col_X2","CO2",92.4
"SD","col_X2","CO2",92.4
"IA","col_X3","CO2",92.4
"KS","col_X3","CO2",92.4
"MN","col_X3","CO2",92.4
"MO","col_X3","CO2",92.4
"ND","col_X3","CO2",92.4
"NE","col_X3","CO2",92.4
"SD","col_X3","CO2",92.4
"IA","col_X1bio","CO2",92.4
"KS","col_X1bio","CO2",92.4
"MN","col_X1bio","CO2",92.4
"MO","col_X1bio","CO2",92.4
"ND","col_X1bio","CO2",92.4
"NE","col_X1bio","CO2",92.4
"SD","col_X1bio","CO2",92.4
"IA","col_X2bio","CO2",92.4
"KS","col_X2bio","CO2",92.4
"MN","col_X2bio","CO2",92.4
"MO","col_X2bio","CO2",92.4
"ND","col_X2bio","CO2",92.4
"NE","col_X2bio","CO2",92.4
"SD","col_X2bio","CO2",92.4
"IA","col_X3bio","CO2",92.4
"KS","col_X3bio","CO2",92.4
"MN","col_X3bio","CO2",92.4
"MO","col_X3bio","CO2",92.4
"ND","col_X3bio","CO2",92.4
"NE","col_X3bio","CO2",92.4
"SD","col_X3bio","CO2",92.4
"IA","col_X1ccs","CO2",92.4
"KS","col_X1ccs","CO2",92.4
"MN","col_X1ccs","CO2",92.4
"MO","col_X1ccs","CO2",92.4
"ND","col_X1ccs","CO2",92.4
"NE","col_X1ccs","CO2",92.4
"SD","col_X1ccs","CO2",92.4
"IA","col_X2ccs","CO2",92.4
"KS","col_X2ccs","CO2",92.4
"MN","col_X2ccs","CO2",92.4
"MO","col_X2ccs","CO2",92.4
"ND","col_X2ccs","CO2",92.4
"NE","col_X2ccs","CO2",92.4
"SD","col_X2ccs","CO2",92.4
"IA","col_X3ccs","CO2",92.4
"KS","col_X3ccs","CO2",92.4
"MN","col_X3ccs","CO2",92.4
"MO","col_X3ccs","CO2",92.4
"ND","col_X3ccs","CO2",92.4
"NE","col_X3ccs","CO2",92.4
"SD","col_X3ccs","CO2",92.4
"IA","ngcc_X1","CO2",53.05666667
"KS","ngcc_X1","CO2",53.05666667
"MN","ngcc_X1","CO2",53.05666667
"MO","ngcc_X1","CO2",53.05666667
"ND","ngcc_X1","CO2",53.05666667
"NE","ngcc_X1","CO2",53.05666667
"SD","ngcc_X1","CO2",53.05666667
"IA","ngcc_X2","CO2",53.05666667
"KS","ngcc_X2","CO2",53.05666667
"MN","ngcc_X2","CO2",53.05666667
"MO","ngcc_X2","CO2",53.05666667
"ND","ngcc_X2","CO2",53.05666667
"NE","ngcc_X2","CO2",53.05666667
"SD","ngcc_X2","CO2",53.05666667
"IA","ngcc_X3","CO2",53.05666667
"KS","ngcc_X3","CO2",53.05666667
"MN","ngcc_X3","CO2",53.05666667
"MO","ngcc_X3","CO2",53.05666667
"ND","ngcc_X3","CO2",53.05666667
"NE","ngcc_X3","CO2",53.05666667
"SD","ngcc_X3","CO2",53.05666667
"IA","ngtb_X1","CO2",53.05666667
"KS","ngtb_X1","CO2",53.05666667
"MN","ngtb_X1","CO2",53.05666667
"MO","ngtb_X1","CO2",53.05666667
"ND","ngtb_X1","CO2",53.05666667
