state,biostep,year,Value
PA,1,2020,22.9645715
PA,2,2020,3.4773193
PA,3,2020,0.55040132
PA,4,2020,0.3007403
PA,5,2020,6.8487288
PA,6,2020,0.002427253
PA,7,2020,1.148152045
PA,8,2020,9.604472053
PA,9,2020,4.993239453
PA,10,2020,47.1407182
PA,11,2020,0.044246984
PA,12,2020,4.090374716
PA,13,2020,0.0005
PA,14,2020,0.988391633
PA,15,2020,0.0005
PA,16,2020,3.898665524
PA,17,2020,1.476652613
RI,1,2020,1.5531113
RI,2,2020,0.286637
RI,3,2020,0.00515872
RI,4,2020,0.0001
RI,5,2020,0.0526721
RI,6,2020,0.0001
RI,7,2020,0.024528213
RI,8,2020,0.4009512
RI,9,2020,1.54063
RI,10,2020,0.0001
RI,11,2020,0.0001
RI,12,2020,0.0001
RI,13,2020,0.0001
RI,14,2020,0.0001
RI,15,2020,0.000475747
RI,16,2020,0.0001
RI,17,2020,0.0001
SC,1,2020,30.5930092
SC,2,2020,0.281346
SC,3,2020,0.15868944
SC,4,2020,15.0132554
SC,5,2020,0.0001
SC,6,2020,0.0001
SC,7,2020,19.8277573
SC,8,2020,0.0001
SC,9,2020,0.0001
SC,10,2020,0.0001
SC,11,2020,0.0001
SC,12,2020,0.0001
SC,13,2020,0.0001
SC,14,2020,0.0001
SC,15,2020,0.407765168
SC,16,2020,0.0001
SC,17,2020,5.988366498
SD,1,2020,2.1604505
SD,2,2020,0.2272387
SD,3,2020,0.00127596
SD,4,2020,1.6077891
SD,5,2020,0.0004
SD,6,2020,0.7838713
SD,7,2020,0.1972488
SD,8,2020,0.0876613
SD,9,2020,1.794303611
SD,10,2020,0.0004
SD,11,2020,6.952487776
SD,12,2020,0.172533481
SD,13,2020,75.27562699
SD,14,2020,0.576671927
SD,15,2020,1.11617841
SD,16,2020,0.172986319
SD,17,2020,9.244754039
TN,1,2020,18.858775
TN,2,2020,6.1212853
TN,3,2020,0.02305748
TN,4,2020,0.5473038
TN,5,2020,1.4401464
TN,6,2020,0.0002
TN,7,2020,0.130191978
TN,8,2020,42.7849759
TN,9,2020,0.245085504
TN,10,2020,0.0002
TN,11,2020,0.0002
TN,12,2020,1.575142238
TN,13,2020,0.0002
TN,14,2020,0.525761634
TN,15,2020,0.039893235
TN,16,2020,0.059206382
TN,17,2020,4.970009523
TX,1,2020,29.1543291
TX,2,2020,18.5431688
TX,3,2020,1.50987032
TX,4,2020,3.8774446
TX,5,2020,0.47381848
TX,6,2020,0.9250809
TX,7,2020,11.9626622
TX,8,2020,0.586371
TX,9,2020,10.55213941
TX,10,2020,0.0007
TX,11,2020,1.76728226
TX,12,2020,0.0007
TX,13,2020,8.391454887
TX,14,2020,1.311548396
TX,15,2020,0.353343595
TX,16,2020,0.464000816
TX,17,2020,13.03949082
UT,1,2020,2.2100247
UT,2,2020,0.3967509
UT,3,2020,0.0584472
UT,4,2020,3.5754173
