"state","unit","status","plant_type","renewable","time","generation","vomcost","variable_cost","capacity","fomcost","fixed_cost","total_cost","wholesale_cost"
"LA","ngtb_X3","existing","ngtb","no",2020,0.04016409,4.79192363534192,0.192463252163,0.5844,11.0474590677447,6.45613507919,6.648598331353,27.22135707
"LA","nuc_X","existing","nuc","yes",2020,13.981335,2.55696031387561,35.74971873,2.2357,131.239238538265,293.4115656,329.16128433,27.22135707
"LA","oth_X","existing","oth","no",2020,0.173582,3.21158773778387,0.5574738227,0.162,42.9796243888889,6.962699151,7.5201729737,27.22135707
"LA","slr_X","existing","slr","yes",2020,0.001506,0,0,0.0011,20.6915296,0.02276068256,0.02276068256,27.22135707
"MA","bio_X","existing","bio","yes",2020,0.092095761,5.28773907094378,0.486978353708,0.0274,136.362649270073,3.73633659,4.223314943708,37.63620393
"MA","col_X1","existing","col","no",2020,0.249553549997,3.20725586217516,0.8003820861545,0.0991,62.4004202903128,6.18388165077,6.9842637369245,37.63620393
"MA","col_X2","existing","col","no",2020,0.025233,3.36600213791464,0.084934331946,0.6233,131.939753579336,82.238048406,82.322982737946,37.63620393
"MA","col_X3","existing","col","no",2020,0.06093856699523,4.18819749628306,0.2552227537165,1.4708,180.851121913542,265.995830110437,266.251052864154,37.63620393
"MA","hyd_X","existing","hyd","yes",2020,0.97556034,0,0,0.2701,92.686960055535,25.034747911,25.034747911,37.63620393
"MA","msw_X","existing","msw","no",2020,1.65827466901,3.90840962201354,6.4812166723,0.2955,17.1733856426058,5.07473545739,11.55595212969,37.63620393
"MA","ngcc_X1","existing","ngcc","no",2020,14.292783037076,2.25784336653108,32.27086536953,7.2916,12.8310449299207,93.55884721101,125.82971258054,37.63620393
"MA","ngcc_X2","existing","ngcc","no",2020,0.033353,2.17759925044224,0.0726294678,0.118,19.2312301042373,2.2692851523,2.3419146201,37.63620393
"MA","ngcc_X3","existing","ngcc","no",2020,0.003949,2.21329416619397,0.0087402986623,0.101,19.073610980198,1.926434709,1.9351750076623,37.63620393
"MA","ngtb_X1","existing","ngtb","no",2020,0.883374718,4.73781739580463,4.18526810595441,1.086,17.8867453286372,19.4250054269,23.6102735328544,37.63620393
"MA","ngtb_X2","existing","ngtb","no",2020,0.097302,4.83673158403424,0.4706236565897,0.1309,20.5925008298701,2.69555835863,3.1661820152197,37.63620393
"MA","ngtb_X3","existing","ngtb","no",2020,0.029052,4.79192363540961,0.13921496545592,0.4844,13.5653868472956,6.57107338883,6.71028835428592,37.63620393
"MA","oth_X","existing","oth","no",2020,-0.001252,0,0,0.0195,0,0,0,37.63620393
"MA","slr_X","existing","slr","yes",2020,1.16135984,0,0,0.8402,20.6915296,17.38502316992,17.38502316992,37.5049665924962
"MA","stog_X2","existing","stog","no",2020,-0.436378,0,0,1.768,0,0,0,37.63620393
"MA","wnd_X","existing","wnd","yes",2020,0.21081692,0,0,0.1036,47.6538110169884,4.93693482136,4.93693482136,37.63620393
"MD","bio_X","existing","bio","yes",2020,0.060216616,5.20338498231119,0.31333023538,0.0038,135.638077026316,0.5154246927,0.82875492808,34.24542896
"MD","col_X1","existing","col","no",2020,1.7140437399892,9.03114049532805,15.47976983098,0.3819,44.3933537496727,16.953821797,32.43359162798,34.24542896
"MD","col_X2","existing","col","no",2020,1.7363780001,7.9903385472151,13.8742480667353,1.414,67.571869039604,95.546622822,109.420870888735,34.24542896
"MD","col_X3","existing","col","no",2020,2.984422647109,15.8640426022762,47.345008016935,5.1145,131.630337357669,673.2233604158,720.568368432735,34.24542896
"MD","hyd_X","existing","hyd","yes",2020,2.188051,0,0,0.5508,92.6869600599128,51.051977601,51.051977601,34.24542896
"MD","msw_X","existing","msw","no",2020,0.59582237,2.7193130598638,1.6202275521,0.1323,3.06690269916856,0.4057512271,2.0259787792,34.24542896
"MD","ngcc_X1","existing","ngcc","no",2020,12.9139449984,2.25578590550055,29.1310951118,2.979,12.7042270590802,37.845892409,66.9769875208,34.24542896
