state,end_state,Value
KY,TX,0.666527151
KY,UT,0
KY,VA,8.575084878
KY,VT,0
KY,WA,0
KY,WI,3.923366378
KY,WV,8.575084878
KY,WY,0
LA,AL,3.438284175
LA,AR,999
LA,AZ,0.441803029
LA,CA,0
LA,CO,0.441803029
LA,CT,0
LA,DC,1.186029076
LA,DE,1.186029076
LA,FL,0
LA,GA,1.186029076
LA,IA,5.517692343
LA,ID,0.441803029
LA,IL,1.397184139
LA,IN,1.397184139
LA,KS,5.517692343
LA,KY,3.438284175
LA,LA,999
LA,MA,0
LA,MD,1.186029076
LA,ME,0
LA,MI,1.397184139
LA,MN,5.517692343
LA,MO,5.517692343
LA,MS,3.438284175
LA,MT,0.441803029
LA,NC,1.186029076
LA,ND,5.517692343
LA,NE,5.517692343
LA,NH,0
LA,NJ,0
LA,NM,0.441803029
LA,NV,0.441803029
LA,NY,0
LA,OH,1.397184139
LA,OK,999
LA,OR,0
LA,PA,0
LA,RI,0
LA,SC,1.186029076
LA,SD,5.517692343
LA,TN,3.438284175
LA,TX,3.493736453
LA,UT,0.441803029
LA,VA,1.186029076
LA,VT,0
LA,WA,0
LA,WI,1.397184139
LA,WV,1.186029076
LA,WY,0.441803029
MA,AL,0
MA,AR,0
MA,AZ,0
MA,CA,0
MA,CO,0
MA,CT,999
MA,DC,0
MA,DE,0
MA,FL,0
MA,GA,0
MA,IA,0
MA,ID,0
MA,IL,0
MA,IN,0
MA,KS,0
MA,KY,0
MA,LA,0
MA,MA,999
MA,MD,0
MA,ME,999
MA,MI,0
MA,MN,0
MA,MO,0
MA,MS,0
MA,MT,0
MA,NC,0
MA,ND,0
MA,NE,0
MA,NH,999
MA,NJ,0
MA,NM,0
MA,NV,0
MA,NY,1.886
MA,OH,0
MA,OK,0
MA,OR,0
MA,PA,0
MA,RI,999
MA,SC,0
MA,SD,0
MA,TN,0
MA,TX,0
MA,UT,0
MA,VA,0
MA,VT,999
MA,WA,0
MA,WI,0
MA,WV,0
MA,WY,0
MD,AL,4.132096862
MD,AR,0.900676298
MD,AZ,0
MD,CA,0
MD,CO,0
MD,CT,0
MD,DC,999
MD,DE,999
MD,FL,1.139285955
MD,GA,999
MD,IA,0
MD,ID,0
MD,IL,12.23614342
MD,IN,12.23614342
MD,KS,0
MD,KY,4.132096862
MD,LA,0.900676298
MD,MA,0
MD,MD,999
MD,ME,0
MD,MI,12.23614342
MD,MN,0
MD,MO,0
MD,MS,4.132096862
MD,MT,0
MD,NC,999
MD,ND,0
MD,NE,0
MD,NH,0
MD,NJ,8.866726901
MD,NM,0
MD,NV,0
MD,NY,0.30844229
MD,OH,12.23614342
MD,OK,0.900676298
MD,OR,0
MD,PA,8.866726901
MD,RI,0
MD,SC,999
MD,SD,0
MD,TN,4.132096862
MD,TX,0
MD,UT,0
MD,VA,999
MD,VT,0
MD,WA,0
MD,WI,12.23614342
MD,WV,999
MD,WY,0
ME,AL,0
ME,AR,0
ME,AZ,0
ME,CA,0
ME,CO,0
ME,CT,999
ME,DC,0
